position,organoid_id,day,prob_full,prob_occluded,importance
0,BA1_96_1_H10_nosplit,3.0,0.7673,0.7701,0.0028
1,BA1_96_1_H10_nosplit,6.0,0.7673,0.7753,0.008
2,BA1_96_1_H10_nosplit,8.0,0.7673,0.774,0.0066
3,BA1_96_1_H10_nosplit,10.0,0.7673,0.7824,0.015
4,BA1_96_1_H10_nosplit,13.0,0.7673,0.7838,0.0164
5,BA1_96_1_H10_nosplit,15.0,0.7673,0.7927,0.0253
6,BA1_96_1_H10_nosplit,17.0,0.7673,0.7824,0.0151
7,BA1_96_1_H10_nosplit,20.5,0.7673,0.7811,0.0137
8,BA1_96_1_H10_nosplit,24.0,0.7673,0.7629,0.0044
9,BA1_96_1_H10_nosplit,28.0,0.7673,0.7284,0.0389
10,BA1_96_1_H10_nosplit,30.0,0.7673,0.2324,0.535
,BA1_96_1_H10_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.7673,0.7695,0.0021
0,BA2_96_1_C10_nosplit,3.0,0.6681,0.6752,0.0071
1,BA2_96_1_C10_nosplit,6.0,0.6681,0.6774,0.0093
2,BA2_96_1_C10_nosplit,8.0,0.6681,0.6754,0.0073
3,BA2_96_1_C10_nosplit,10.0,0.6681,0.6833,0.0152
4,BA2_96_1_C10_nosplit,13.0,0.6681,0.6881,0.02
5,BA2_96_1_C10_nosplit,15.0,0.6681,0.6889,0.0208
6,BA2_96_1_C10_nosplit,17.0,0.6681,0.6832,0.0151
7,BA2_96_1_C10_nosplit,20.5,0.6681,0.6763,0.0082
8,BA2_96_1_C10_nosplit,24.0,0.6681,0.657,0.0111
9,BA2_96_1_C10_nosplit,28.0,0.6681,0.5364,0.1317
10,BA2_96_1_C10_nosplit,30.0,0.6681,0.3045,0.3636
,BA2_96_1_C10_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.6681,0.5949,0.0732
0,BA2_96_1_C11_nosplit,3.0,0.8818,0.8861,0.0043
1,BA2_96_1_C11_nosplit,6.0,0.8818,0.8851,0.0033
2,BA2_96_1_C11_nosplit,8.0,0.8818,0.8861,0.0043
3,BA2_96_1_C11_nosplit,10.0,0.8818,0.8916,0.0098
4,BA2_96_1_C11_nosplit,13.0,0.8818,0.8917,0.0099
5,BA2_96_1_C11_nosplit,15.0,0.8818,0.8907,0.0089
6,BA2_96_1_C11_nosplit,17.0,0.8818,0.8881,0.0063
7,BA2_96_1_C11_nosplit,20.5,0.8818,0.8847,0.0029
8,BA2_96_1_C11_nosplit,24.0,0.8818,0.8735,0.0083
9,BA2_96_1_C11_nosplit,28.0,0.8818,0.8513,0.0305
10,BA2_96_1_C11_nosplit,30.0,0.8818,0.2817,0.6001
,BA2_96_1_C11_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8818,0.8532,0.0286
0,BA2_96_1_C8_nosplit,3.0,0.8281,0.8319,0.0038
1,BA2_96_1_C8_nosplit,6.0,0.8281,0.8341,0.006
2,BA2_96_1_C8_nosplit,8.0,0.8281,0.8374,0.0093
3,BA2_96_1_C8_nosplit,10.0,0.8281,0.837,0.0089
4,BA2_96_1_C8_nosplit,13.0,0.8281,0.842,0.0139
5,BA2_96_1_C8_nosplit,15.0,0.8281,0.8399,0.0118
6,BA2_96_1_C8_nosplit,17.0,0.8281,0.8393,0.0112
7,BA2_96_1_C8_nosplit,20.5,0.8281,0.8302,0.0021
8,BA2_96_1_C8_nosplit,24.0,0.8281,0.8306,0.0025
9,BA2_96_1_C8_nosplit,28.0,0.8281,0.8065,0.0216
10,BA2_96_1_C8_nosplit,30.0,0.8281,0.2367,0.5914
,BA2_96_1_C8_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8281,0.8323,0.0042
0,BA2_96_1_D9_nosplit,3.0,0.7413,0.7497,0.0085
1,BA2_96_1_D9_nosplit,6.0,0.7413,0.7537,0.0124
2,BA2_96_1_D9_nosplit,8.0,0.7413,0.7551,0.0138
3,BA2_96_1_D9_nosplit,10.0,0.7413,0.7631,0.0218
4,BA2_96_1_D9_nosplit,13.0,0.7413,0.7682,0.0269
5,BA2_96_1_D9_nosplit,15.0,0.7413,0.7564,0.0151
6,BA2_96_1_D9_nosplit,17.0,0.7413,0.7662,0.0249
7,BA2_96_1_D9_nosplit,20.5,0.7413,0.7483,0.0071
8,BA2_96_1_D9_nosplit,24.0,0.7413,0.7554,0.0141
9,BA2_96_1_D9_nosplit,28.0,0.7413,0.6938,0.0475
10,BA2_96_1_D9_nosplit,30.0,0.7413,0.2138,0.5275
,BA2_96_1_D9_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.7413,0.7688,0.0275
0,BA2_96_1_E12_nosplit,3.0,0.0954,0.1015,0.0061
1,BA2_96_1_E12_nosplit,6.0,0.0954,0.1016,0.0061
2,BA2_96_1_E12_nosplit,8.0,0.0954,0.1058,0.0103
3,BA2_96_1_E12_nosplit,10.0,0.0954,0.106,0.0105
4,BA2_96_1_E12_nosplit,13.0,0.0954,0.1106,0.0151
5,BA2_96_1_E12_nosplit,15.0,0.0954,0.1077,0.0122
6,BA2_96_1_E12_nosplit,17.0,0.0954,0.102,0.0066
7,BA2_96_1_E12_nosplit,20.5,0.0954,0.1034,0.008
8,BA2_96_1_E12_nosplit,24.0,0.0954,0.1028,0.0073
9,BA2_96_1_E12_nosplit,28.0,0.0954,0.104,0.0086
10,BA2_96_1_E12_nosplit,30.0,0.0954,0.1871,0.0916
,BA2_96_1_E12_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.0954,0.1688,0.0734
0,BA2_96_1_E3_nosplit,3.0,0.027,0.0283,0.0013
1,BA2_96_1_E3_nosplit,6.0,0.027,0.0292,0.0022
2,BA2_96_1_E3_nosplit,8.0,0.027,0.029,0.002
3,BA2_96_1_E3_nosplit,10.0,0.027,0.0306,0.0036
4,BA2_96_1_E3_nosplit,13.0,0.027,0.0292,0.0023
5,BA2_96_1_E3_nosplit,15.0,0.027,0.0321,0.0052
6,BA2_96_1_E3_nosplit,17.0,0.027,0.0293,0.0024
7,BA2_96_1_E3_nosplit,20.5,0.027,0.0299,0.003
8,BA2_96_1_E3_nosplit,24.0,0.027,0.0308,0.0038
9,BA2_96_1_E3_nosplit,28.0,0.027,0.0284,0.0014
10,BA2_96_1_E3_nosplit,30.0,0.027,0.1742,0.1473
,BA2_96_1_E3_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.027,0.0517,0.0247
0,BA2_96_1_E5_nosplit,3.0,0.7888,0.7931,0.0043
1,BA2_96_1_E5_nosplit,6.0,0.7888,0.7944,0.0056
2,BA2_96_1_E5_nosplit,8.0,0.7888,0.7983,0.0095
3,BA2_96_1_E5_nosplit,10.0,0.7888,0.801,0.0121
4,BA2_96_1_E5_nosplit,13.0,0.7888,0.8009,0.012
5,BA2_96_1_E5_nosplit,15.0,0.7888,0.8041,0.0152
6,BA2_96_1_E5_nosplit,17.0,0.7888,0.7928,0.0039
7,BA2_96_1_E5_nosplit,20.5,0.7888,0.7862,0.0026
8,BA2_96_1_E5_nosplit,24.0,0.7888,0.784,0.0048
9,BA2_96_1_E5_nosplit,28.0,0.7888,0.7397,0.0491
10,BA2_96_1_E5_nosplit,30.0,0.7888,0.2738,0.5151
,BA2_96_1_E5_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.7888,0.7717,0.0171
0,BA2_96_1_G7_nosplit,3.0,0.5315,0.5449,0.0134
1,BA2_96_1_G7_nosplit,6.0,0.5315,0.5494,0.018
2,BA2_96_1_G7_nosplit,8.0,0.5315,0.5429,0.0114
3,BA2_96_1_G7_nosplit,10.0,0.5315,0.5569,0.0254
4,BA2_96_1_G7_nosplit,13.0,0.5315,0.5672,0.0358
5,BA2_96_1_G7_nosplit,15.0,0.5315,0.5606,0.0291
6,BA2_96_1_G7_nosplit,17.0,0.5315,0.5562,0.0247
7,BA2_96_1_G7_nosplit,20.5,0.5315,0.5192,0.0123
8,BA2_96_1_G7_nosplit,24.0,0.5315,0.543,0.0115
9,BA2_96_1_G7_nosplit,28.0,0.5315,0.4978,0.0337
10,BA2_96_1_G7_nosplit,30.0,0.5315,0.2136,0.3178
,BA2_96_1_G7_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.5315,0.589,0.0576
0,BA2_96_1_H11_nosplit,3.0,0.8062,0.8081,0.0019
1,BA2_96_1_H11_nosplit,6.0,0.8062,0.8086,0.0025
