organoid_id,day,prob_full,prob_occluded,importance
BA2_96_1_C10_nosplit,10.0,0.6683,0.6834,0.0151
BA2_96_1_C10_nosplit,13.0,0.6683,0.6883,0.02
BA2_96_1_C10_nosplit,15.0,0.6683,0.6891,0.0209
BA2_96_1_C10_nosplit,17.0,0.6683,0.6834,0.0151
BA2_96_1_C10_nosplit,20.5,0.6683,0.6764,0.0081
BA2_96_1_C10_nosplit,24.0,0.6683,0.6569,0.0113
BA2_96_1_C10_nosplit,28.0,0.6683,0.5363,0.132
BA2_96_1_C10_nosplit,30.0,0.6683,0.3038,0.3645
BA2_96_1_C11_nosplit,3.0,0.8818,0.8861,0.0043
BA2_96_1_C11_nosplit,6.0,0.8818,0.8851,0.0033
BA2_96_1_C11_nosplit,8.0,0.8818,0.8861,0.0043
BA2_96_1_C11_nosplit,10.0,0.8818,0.8916,0.0097
BA2_96_1_C11_nosplit,13.0,0.8818,0.8917,0.0099
BA2_96_1_C11_nosplit,15.0,0.8818,0.8907,0.0089
BA2_96_1_C11_nosplit,17.0,0.8818,0.8881,0.0063
BA2_96_1_C11_nosplit,20.5,0.8818,0.8847,0.0029
BA2_96_1_C11_nosplit,24.0,0.8818,0.8734,0.0085
BA2_96_1_C11_nosplit,28.0,0.8818,0.8513,0.0305
BA2_96_1_C11_nosplit,30.0,0.8818,0.2812,0.6007
BA2_96_1_C8_nosplit,3.0,0.8278,0.8316,0.0038
BA2_96_1_C8_nosplit,6.0,0.8278,0.8338,0.006
BA2_96_1_C8_nosplit,8.0,0.8278,0.8373,0.0095
BA2_96_1_C8_nosplit,10.0,0.8278,0.8367,0.0089
BA2_96_1_C8_nosplit,13.0,0.8278,0.8418,0.014
BA2_96_1_C8_nosplit,15.0,0.8278,0.8396,0.0118
BA2_96_1_C8_nosplit,17.0,0.8278,0.839,0.0112
BA2_96_1_C8_nosplit,20.5,0.8278,0.8299,0.0021
BA2_96_1_C8_nosplit,24.0,0.8278,0.8303,0.0024
BA2_96_1_C8_nosplit,28.0,0.8278,0.806,0.0218
BA2_96_1_C8_nosplit,30.0,0.8278,0.2358,0.592
BA2_96_1_D9_nosplit,3.0,0.7411,0.7495,0.0084
BA2_96_1_D9_nosplit,6.0,0.7411,0.7535,0.0124
BA2_96_1_D9_nosplit,8.0,0.7411,0.7548,0.0137
BA2_96_1_D9_nosplit,10.0,0.7411,0.7629,0.0217
BA2_96_1_D9_nosplit,13.0,0.7411,0.7681,0.027
BA2_96_1_D9_nosplit,15.0,0.7411,0.7562,0.0151
BA2_96_1_D9_nosplit,17.0,0.7411,0.7659,0.0248
BA2_96_1_D9_nosplit,20.5,0.7411,0.7481,0.007
BA2_96_1_D9_nosplit,24.0,0.7411,0.7551,0.014
BA2_96_1_D9_nosplit,28.0,0.7411,0.6935,0.0476
BA2_96_1_D9_nosplit,30.0,0.7411,0.2134,0.5277
BA2_96_1_E12_nosplit,3.0,0.0951,0.1011,0.006
BA2_96_1_E12_nosplit,6.0,0.0951,0.1012,0.006
BA2_96_1_E12_nosplit,8.0,0.0951,0.1054,0.0102
BA2_96_1_E12_nosplit,10.0,0.0951,0.1056,0.0105
BA2_96_1_E12_nosplit,13.0,0.0951,0.1101,0.015
BA2_96_1_E12_nosplit,15.0,0.0951,0.1072,0.0121
BA2_96_1_E12_nosplit,17.0,0.0951,0.1017,0.0066
BA2_96_1_E12_nosplit,20.5,0.0951,0.1029,0.0078
BA2_96_1_E12_nosplit,24.0,0.0951,0.1022,0.0071
BA2_96_1_E12_nosplit,28.0,0.0951,0.1036,0.0085
BA2_96_1_E12_nosplit,30.0,0.0951,0.187,0.0919
BA2_96_1_E3_nosplit,3.0,0.0271,0.0284,0.0013
BA2_96_1_E3_nosplit,6.0,0.0271,0.0294,0.0022
BA2_96_1_E3_nosplit,8.0,0.0271,0.0292,0.0021
BA2_96_1_E3_nosplit,10.0,0.0271,0.0307,0.0036
BA2_96_1_E3_nosplit,13.0,0.0271,0.0294,0.0023
BA2_96_1_E3_nosplit,15.0,0.0271,0.0323,0.0052
BA2_96_1_E3_nosplit,17.0,0.0271,0.0295,0.0024
BA2_96_1_E3_nosplit,20.5,0.0271,0.0301,0.003
BA2_96_1_E3_nosplit,24.0,0.0271,0.0309,0.0038
BA2_96_1_E3_nosplit,28.0,0.0271,0.0285,0.0014
BA2_96_1_E3_nosplit,30.0,0.0271,0.174,0.1468
BA2_96_1_E5_nosplit,3.0,0.7896,0.7938,0.0042
BA2_96_1_E5_nosplit,6.0,0.7896,0.7952,0.0055
BA2_96_1_E5_nosplit,8.0,0.7896,0.799,0.0094
BA2_96_1_E5_nosplit,10.0,0.7896,0.8018,0.0121
BA2_96_1_E5_nosplit,13.0,0.7896,0.8017,0.0121
BA2_96_1_E5_nosplit,15.0,0.7896,0.8048,0.0152
BA2_96_1_E5_nosplit,17.0,0.7896,0.7935,0.0038
BA2_96_1_E5_nosplit,20.5,0.7896,0.787,0.0027
BA2_96_1_E5_nosplit,24.0,0.7896,0.7848,0.0048
BA2_96_1_E5_nosplit,28.0,0.7896,0.7406,0.049
BA2_96_1_E5_nosplit,30.0,0.7896,0.2735,0.5161
BA2_96_1_G7_nosplit,3.0,0.5315,0.5449,0.0135
BA2_96_1_G7_nosplit,6.0,0.5315,0.5493,0.0179
BA2_96_1_G7_nosplit,8.0,0.5315,0.5429,0.0114
BA2_96_1_G7_nosplit,10.0,0.5315,0.5569,0.0254
BA2_96_1_G7_nosplit,13.0,0.5315,0.5673,0.0358
BA2_96_1_G7_nosplit,15.0,0.5315,0.5604,0.0289
BA2_96_1_G7_nosplit,17.0,0.5315,0.5561,0.0247
BA2_96_1_G7_nosplit,20.5,0.5315,0.5192,0.0123
BA2_96_1_G7_nosplit,24.0,0.5315,0.543,0.0116
BA2_96_1_G7_nosplit,28.0,0.5315,0.4979,0.0336
BA2_96_1_G7_nosplit,30.0,0.5315,0.2132,0.3183
BA2_96_1_H11_nosplit,3.0,0.8058,0.8077,0.0019
BA2_96_1_H11_nosplit,6.0,0.8058,0.8083,0.0025
BA2_96_1_H11_nosplit,8.0,0.8058,0.8121,0.0063
BA2_96_1_H11_nosplit,10.0,0.8058,0.8082,0.0024
BA2_96_1_H11_nosplit,13.0,0.8058,0.8117,0.0059
BA2_96_1_H11_nosplit,15.0,0.8058,0.8131,0.0074
BA2_96_1_H11_nosplit,17.0,0.8058,0.8115,0.0057
BA2_96_1_H11_nosplit,20.5,0.8058,0.8066,0.0008
BA2_96_1_H11_nosplit,24.0,0.8058,0.7907,0.0151
BA2_96_1_H11_nosplit,28.0,0.8058,0.7504,0.0554
BA2_96_1_H11_nosplit,30.0,0.8058,0.2677,0.5381
BA2_96_2_B10_nosplit,3.0,0.7889,0.7903,0.0013
BA2_96_2_B10_nosplit,6.0,0.7889,0.7956,0.0066
BA2_96_2_B10_nosplit,8.0,0.7889,0.7991,0.0101
BA2_96_2_B10_nosplit,10.0,0.7889,0.8078,0.0189
BA2_96_2_B10_nosplit,13.0,0.7889,0.8098,0.0209
BA2_96_2_B10_nosplit,15.0,0.7889,0.8047,0.0157
BA2_96_2_B10_nosplit,17.0,0.7889,0.8054,0.0165
BA2_96_2_B10_nosplit,20.5,0.7889,0.7941,0.0052
